Pair ID,Class 1,Term 1,Similarity,Class 2,Term 2,Term 1 Expand,Term 2 Expand
0047728-0073918,8,edged and blunt weapons,Dissimilar,9,scientific and laboratory devices for treatment using electricity,"Hand-operated edged and blunt weapons, excluding firearms",Electrical scientific and laboratory apparatus for treatment
0048076-0005461,44,human healthcare services,Identical,44,meditation services,"Professional services for human healthcare, including medical, diagnostic, and therapeutic care",Meditation services for health and well-being
0017416-0060711,11,gas operated apparatus for cooking,Similar,7,"kitchen machines, electric",Gas-operated cooking apparatus [appliances],Electric kitchen machines for food preparation
0007082-0039346,37,drilling of wells,Dissimilar,37,repair of machines,"Construction service, namely, drilling of wells",Repair services for machines
0046410-0035972,30,sweetmeats [candy],Similar,29,milk products,"Edible confectionery, namely sweetmeats in the nature of candy","Edible food substances derived from milk, namely, milk products"
0047664-0059256,5,hygienic preparations and articles,Dissimilar,29,meat,Sanitary and disinfectant preparations and articles for medical and hygienic purposes,Edible animal flesh for human consumption
0015679-0018321,35,import and export services,Dissimilar,41,vocational guidance [education or training advice],Business intermediary services for the import and export of goods,Educational advisory service providing advice and counseling regarding career paths and professional training
0028946-0046799,29,fish-based foodstuffs,Identical,29,fish fillets,Prepared foodstuffs predominantly made from fish,Fish fillets for human consumption
0014120-0002649,20,mattresses,Dissimilar,21,brushes,"Padded articles for beds, namely, mattresses","Handheld brushes for cleaning, grooming, or applying substances"
0015045-0047813,7,heat exchangers [parts of machines],High similar,12,"powertrains, including engines and motors, for land vehicles","Mechanical apparatus for heat exchange, being component parts of machines","Powertrains for land vehicles, including engines and motors"
0048004-0033152,37,"extermination, disinfection and pest control",Dissimilar,42,it services,"Extermination, disinfection, and pest control services for maintaining premises and public health.","Information technology (IT) services, including technical support, software development, and system management"
0024818-0003286,7,"motors, other than for land vehicles",Dissimilar,7,pressure valves [parts of machines],"Power-generating motors and engines, excluding those for land vehicles",Pressure regulating valves being parts of machines
0025613-0056577,33,alcoholic beverages (except beer),Identical,33,black raspberry wine (bokbunjaju),"Potable alcoholic beverages, excluding beer",Alcoholic black raspberry wine
0013808-0059219,20,beds,Similar,20,bedsteads of wood,Furniture in the nature of beds for sleeping,Wooden furniture frames for beds
0037982-0035029,7,pressure regulators [parts of machines],Dissimilar,7,"machine couplings and transmissions, except for land vehicles","Pressure regulators, being parts of machines","Machine coupling and transmission components, excluding those for land vehicles"
0042870-0072795,29,pickles,Dissimilar,30,golden syrup,Vegetables preserved in vinegar or brine for consumption,Golden food syrup
0014354-0029368,7,transmission components (except for land vehicles),Dissimilar,7,pressure reducers [parts of machines],"Mechanical components for power transmission in machines and engines, except for land vehicles",Mechanical pressure reducers being parts of machines
0020128-0059093,7,"agricultural implements, other than hand-operated",Dissimilar,7,"door openers, pneumatic",Non-manual agricultural implements and machinery,Pneumatically-powered machines for automatically opening doors
0007836-0059003,41,entertainment services,Identical,41,providing amusement arcade services,"Providing entertainment, amusement, and recreation services to the public.",Entertainment services for operating amusement arcades
0058819-0019492,26,hair barrettes,Dissimilar,26,hooks and eyes,Decorative fasteners for hair [barrettes],Small hooks and eyes fasteners for clothing and haberdashery
0046772-0024767,30,sauces [condiments],Dissimilar,30,rice-based snack food,Edible sauces for use as condiments,Prepared edible snack food made primarily from rice
0058032-0047946,25,bath robes,High similar,24,"textile goods, and substitutes for textile goods","Garments, namely, bath robes","Textile goods and materials, including natural and synthetic fabrics, and non-woven substitutes for textiles."
0033380-0045403,25,dresses,Dissimilar,18,whips,"Dresses, being articles of clothing for women and girls","Flexible striking device, namely whips, for equestrian use"
0003828-0002625,18,umbrellas,Dissimilar,18,shopping bags,Non-metallic umbrella-shaped structural elements for building construction,Bags for carrying shopping goods
0009708-0015601,35,word processing,Identical,35,secretarial and clerical services,"Office administrative services, namely, word processing",Professional secretarial and clerical administrative services
0020733-0000462,30,sushi,Dissimilar,30,artificial coffee,Prepared food in the nature of sushi,Artificial coffee [coffee substitute]
0023407-0071842,5,aloe vera preparations for pharmaceutical purposes,Identical,5,pharmaceuticals,Medicinal preparations derived from aloe vera for pharmaceutical use,Medicinal substances and drugs (pharmaceuticals)
0059496-0012058,36,investment services,Identical,36,financing services for companies,"Financial services, namely, investment services",Financial services for the financing of companies
0072790-0045910,1,adhesives for use in industry,Dissimilar,2,coatings,Chemical adhesives formulated for industrial applications,Chemical preparations in the nature of protective and decorative coatings
0057033-0011653,42,computer software design,Similar,42,consultancy in the field of computers,Services for the design and development of computer software,Professional advisory services in the field of computer technology
0072436-0059481,30,cereal preparations,Identical,30,pastries,Food preparations made from cereals,Baked pastries
0026072-0052012,5,hygienic lubricants,Low similar,3,vaginal washes for personal sanitary or deodorant purposes,Hygienic lubricants for medical and sanitary purposes,Non-medicated vaginal washes for personal sanitary or deodorant purposes
0008846-0003828,18,beach umbrellas [beach parasols],Similar,18,umbrellas,Shade device for providing protection from the sun on beaches,Non-metallic umbrella-shaped structural elements for building construction
0036007-0058975,35,"presentation of goods on communication media, for retail purposes",Dissimilar,35,personnel management,"Advertising and promotional services, namely, presentation of goods on communication media for retail purposes",Business management and administration services relating to human resources
0058866-0057172,25,trousers,Dissimilar,35,business management,Clothing garment for covering the lower body,Business management services
0047663-0072798,5,pest control preparations and articles,Low similar,31,animal foodstuffs,"Chemical and biological preparations and articles for pest control, including insecticides, rodenticides, and repellents",Edible foodstuffs for animal consumption
0006239-0020650,41,arrangement of conferences for educational purposes,Dissimilar,41,publishing services,Educational conference arrangement services,"Publishing services for books, magazines, and digital content"
0046472-0072794,29,"vegetables, cooked",Dissimilar,30,syrups and treacles,Edible vegetable foodstuffs prepared by cooking,Sweetened food syrups and treacles
0047672-0047895,6,building and construction materials and elements of metal,Low similar,19,"doors, gates, windows and window coverings, not of metal",Fabricated metal materials and elements for building and construction purposes,"Non-metal doors, gates, windows, and window coverings for buildings"
