Original_Term,Nature,Purpose,Expanded_Name,Logic_Trace
Umbrella or parasol ribs,Structural components for umbrellas and parasols,Supporting the canopy of umbrellas and parasols,"Structural components for umbrellas and parasols, namely, ribs","Class 18 includes ""umbrellas and parasols."" Umbrella or parasol ribs are essential structural components of these items and are classified accordingly within this class."
Disinfectants,Chemical preparations,Destroying harmful microorganisms and sanitizing surfaces,Chemical preparations in the nature of disinfectants,"Class 5 explicitly lists ""disinfectants."" The term is a direct match for the class description."
Nuts being fresh,Raw agricultural produce,"Being fresh, unprocessed nuts for consumption","Raw agricultural produce, namely, fresh nuts","Class 31 includes ""Raw and unprocessed agricultural... products"" and ""fresh fruits and vegetables, fresh herbs."" Fresh nuts are unprocessed agricultural products, fitting perfectly within this class."
Pouches,Small carrying bags,Holding small items for personal carrying,"Small carrying bags, namely, pouches","Class 18 includes ""luggage and carrying bags."" Pouches are a type of small carrying bag or container, consistent with this class."
Pin cushions,Haberdashery items,Holding and storing pins and needles,"Haberdashery items, namely, pin cushions","Class 26 includes ""pins and needles"" and ""haberdashery ribbons and bows."" Pin cushions are common haberdashery items used for holding pins and needles, fitting within this class."
Table covers,Household linen,Covering tables for decorative or protective purposes,"Household linen, namely, table covers","Class 24 includes ""Textiles and substitutes for textiles; household linen."" Table covers are a quintessential item of household linen, fitting perfectly within this class."
Shirt fronts,Articles of clothing accessories,Being worn as a decorative or functional front part of a shirt,"Clothing accessories, namely, shirt fronts","Class 25 covers ""Clothing, footwear, headwear."" Shirt fronts are considered articles of clothing or clothing accessories, fitting within this class."
Shoulder pads for clothing,Haberdashery articles,Providing shape and padding to the shoulders of clothing,"Haberdashery articles, namely, shoulder pads for clothing","Class 26 includes ""haberdashery ribbons and bows; buttons, hooks and eyes, pins and needles."" Shoulder pads are commonly classified as haberdashery or sewing notions, used in the tailoring and construction of clothing, aligning with this class."
Power distributors [electrical],Electrical apparatus,Distributing electrical power to multiple devices or circuits,Electrical apparatus for distributing power,"Class 9 explicitly mentions ""apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity."" A power distributor directly matches ""apparatus... for... controlling the distribution or use of electricity"" and is consistent with this class."
Nuclear reactors,Apparatus for energy generation,Generating heat and steam for power production,"Apparatus for generating heat and steam, namely, nuclear reactors","The class description mentions ""Apparatus and installations for lighting, heating, cooling, steam generating..."". Nuclear reactors are primarily used for generating heat, which in turn produces steam for electricity. This aligns perfectly with the 'heating' and 'steam generating' aspects of Class 11. The other brainstormed meanings (research, fictional weapon) are not directly covered by Class 11's scope of utility apparatus."
